name,networth,education
"Jonathan_Harmsworth,_4th_Viscount_Rothermere",1.37E9,Gordonstoun
Jonathan_M._Nelson,1.76E9,Brown University
Jonathan_M._Nelson,1.76E9,Harvard Business School
Jonathan_Manzi,1000000.0,Stanford University
Jonathan_Ruffer,3.8E8,Marlborough College
Jonathan_Ruffer,3.8E8,Sidney Sussex College Cambridge
Jorge_Paulo_Lemann,2.82E10,Harvard University
Joseph_Grendys,1.74E9,Holy Cross High School (River Grove Illinois)
J._R._Simplot,3.6E9,Eighth grade
Jack_Dellal,4.3E9,Manchester
Jack_Dellal,4.3E9,Heaton Moor
Jack_Welch,7.5E8,University of Massachusetts Amherst
Jack_Welch,7.5E8,University of Illinois at Urbana–Champaign
Jack_Welch,7.5E8,Chemical engineering
Jack_Welch,7.5E8,Doctor of Philosophy
Jack_Welch,7.5E8,Bachelor of Science
Jack_Welch,7.5E8,Master of Science
Jacqueline_Mars,2.36E10,Miss Hall's School
James_C._Kennedy,9.8E9,University of Denver
James_Cameron,1.79E9,Brea Olinda High School
James_Cayne,6.1E7,Purdue University
James_Dinan,1.6E9,University of Pennsylvania
James_Dinan,1.6E9,Harvard University
James_Douglas_(businessman),1.8E7,Laval University
James_Douglas_(businessman),1.8E7,Queen's University
James_Douglas_(businessman),1.8E7,University of Edinburgh
James_Douglas_(businessman),1.8E7,Martin Luther University of Halle-Wittenberg
James_Dyson,4.9E9,Gresham's School
Ömer_Sabancı,3.0E9,Economics
M_G_George_Muthoot,1.14E9,Manipal Institute of Technology
Mahdi_Al_Tajir,1.67E9,Winckley Square
Malcolm_Forbes,4.0E8,Political science
Manoj_Bhargava,1.5E9,Princeton University
Marc_Lasry,1.9E9,Clark University
Marc_Lasry,1.9E9,New York Law School
Matthew_Bucksbaum,1.2E9,University of Iowa
Matthew_Freud,1.7E7,Westminster School
Mel_B,3.3E7,Leeds West Academy
Michael_Ashcroft,8.65E8,Royal Grammar School High Wycombe
Michael_Ashcroft,8.65E8,Norwich School (independent school)
Michael_F._Price,1.25E9,University of Oklahoma
Michael_Flatley,2.25E8,Brother Rice High School (Chicago)
Michael_Heisley,1.6E9,Georgetown University
Michael_Jaharis,2.2E9,Carroll University
Michael_Jaharis,2.2E9,DePaul University College of Law
Michael_Kadoorie,5.7E9,Institut Le Rosey
Michael_Kors,1.0E9,Fashion Institute of Technology
Michael_Kors,1.0E9,New York City
Michael_Sherwood_(banker),1.85E8,Westminster School
Michael_Stoschek,2.4E9,Casimirianum Coburg
Michael_Uren,1.7E8,Sherborne School
Mike_Adenuga,3.2E9,Ibadan Grammar School
Mark_Coombs,1.8E9,Dulwich College
Mark_Pears,2.1E9,City of London School
Martha_Firestone_Ford,1.36E9,Vassar College
Martha_Firestone_Ford,1.36E9,Bachelor's degree
Martin_Naughton_(businessman),1.25E9,De La Salle College Dundalk
Martin_Sorrell,2.57E8,Christ's College Cambridge
Martin_Sorrell,2.57E8,Haberdashers' Aske's Boys' School
Martin_Sorrell,2.57E8,Harvard University
Mary_Perkins,1.45E9,Fairfield Grammar School
Masayoshi_Son,1.52E10,Jefferson Union High School District
Mikhael_Mirilashvili,3.0E9,Saint Petersburg State University
Minoru_Mori,1.4E9,University of Tokyo
Miroslav_Mišković,5.073E8,Finance
Gayle_Cook,5.8E9,Indiana University Bloomington
Geoffrey_Edelsten,6.3E7,Mount Scopus Memorial College
Geoffrey_Edelsten,6.3E7,Princes Hill Secondary College
George_Joseph_(West_Virginia),1.15E9,Harvard University
Geraldine_Hughes,500000.0,University of California Los Angeles
Gert_Verhulst,1.12E8,Autodidacticism
Gigi_Pritzker,1.9E9,Stanford University
Gina_Rinehart,9.8E9,St Hilda's Anglican School for Girls
Glenn_Beck,9.0E7,Sehome High School
Graeme_Hart,8.1E9,Mount Roskill Grammar School
Graeme_Hart,8.1E9,New Zealand
Graeme_Hart,8.1E9,Auckland
Graham_Tuckwell,4.6E8,Australian National University
Gérard_Louis-Dreyfus,3.4E9,Duke University
Gérard_Louis-Dreyfus,3.4E9,Juris Doctor
Vikram_Lal,3.9E9,The Doon School
Vincent_Astor,1.5E9,Harvard University
Vincent_Bolloré,7.3E9,Lycée Janson de Sailly
Vladimir_Aleksandrovich_Antonov,3.0E8,Plekhanov Russian University of Economics
Vladimir_Lisin,9.1E9,Siberian State Industrial University
Vladimir_Lisin,9.1E9,Russian Presidential Academy of National Economy and Public Administration
Kamarudin_Meranun,2.25E8,Universiti Teknologi MARA
Karen_Pritzker,4.3E9,Northwestern University
Karl-Johan_Persson,3.0E9,European Business School London
Kavita_Oberoi,1.0E7,University of Huddersfield
Ken_Moelis,3.86E8,Wharton School of the University of Pennsylvania
Ken_Morrison,1.0E9,Bradford Grammar School
Kenneth_Feld,1.8E9,Boston University
Khoo_Teck_Puat,2.6E9,St. Joseph's Institution Singapore
Klaus_Tschira,6.7E9,Karlsruhe Institute of Technology
Kris_Gopalakrishnan,1.35E9,Master of Science
Kris_Gopalakrishnan,1.35E9,Master of Engineering
Paul_Allen,1.76E10,Lakeside School (Seattle)
Paul_Walker,2.5E7,Village Christian Schools
Peter_Hargreaves,2.39E9,Clitheroe Royal Grammar School
Petr_Kellner,1.08E10,University of Economics Prague
Phaedra_Parks,2000000.0,Clarke Central High School
Pankaj_Patel,4.1E9,Gujarat University
